#a,Barruko ,Deskribapena,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa,Urtea,Funtzionala,Dirección,Kapitulua,Sección,Organikoa
1 02.226.99.924.00 2017,5694.0,PARTEHARTZE EKIMENAK,0.0,6171.0,0.0,6171.0,0.0,6171.0,6171.0,6171.0,6171.0,2017,92400,,2,,02
1 02.226.99.924.00 2016,5693.0,PARTEHARTZE EKIMENAK,0.0,1844.76,0.0,605.0,1239.76,605.0,0.0,0.0,0.0,2016,92400,,2,,02
1 02.226.99.933.00 2018,4510.0,ETXEBIZITZEN GASTUAK (ALOKABIDE),5500.0,5500.0,0.0,3911.58,1588.42,3911.58,3911.58,3911.58,3911.58,2018,93300,,2,,02
1 02.227.01.334.00 2018,5619.0,PRODUKZIO LAGUNTZA ZERBITZUA,25000.0,25000.0,0.0,22430.0,2570.0,22430.0,18321.45,18321.45,18321.45,2018,33400,,2,,02
1 02.227.04.231.03 2018,4476.0,KONTRATUA. GAZTELEKUA,90000.0,90000.0,0.0,90000.0,0.0,90000.0,75000.0,75000.0,75000.0,2018,23103,,2,,02
1 02.227.04.323.20 2018,4511.0,INGURUGIRO HEZKUNTZAKO KONTRATUA,19000.0,19000.0,0.0,13000.0,6000.0,13000.0,10400.0,10400.0,10400.0,2018,32320,,2,,02
1 02.227.04.326.02 2018,4512.0,KONTRATUA: KANTUZ,65000.0,65000.0,0.0,64999.98,0.02,64999.98,50555.54,50555.54,50555.54,2018,32602,,2,,02
1 02.227.04.334.10 2018,4513.0,KULTURAKO TAILERREN KONTRATOA,85000.0,85000.0,0.0,79471.9,5528.1,79471.9,61989.35,61989.35,61989.35,2018,33410,,2,,02
1 02.227.04.342.00 2018,4515.0,KONTRATUA: MONITOREAK,200000.0,200000.0,0.0,217356.91,-17356.91,217356.91,217356.91,217356.91,217356.91,2018,34200,,2,,02
1 02.227.04.432.00 2018,5835.0,TURISMO EKINTZA PLANA,0.0,40000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,2018,43200,,2,,02
1 02.227.07.172.20 2018,4516.0,AZTERKETAK:INGURUGIROA,154200.0,223200.0,0.0,28645.08,194554.92,28645.08,12922.8,12922.8,12922.8,2018,17220,,2,,02
1 02.227.07.172.20 2017,5696.0,AZTERKETAK:INGURUGIROA,0.0,132057.88,0.0,129103.62,2954.26,70018.62,59370.62,59370.62,59370.62,2017,17220,,2,,02
1 02.227.07.172.20 2016,5695.0,AZTERKETAK:INGURUGIROA,0.0,17453.21,0.0,17453.21,0.0,17453.21,14648.26,14648.26,14648.26,2016,17220,,2,,02
1 02.227.07.231.00 2018,5620.0,INDARKERIA MATXISTA.PROTOKOLOA,20000.0,20000.0,0.0,5605.86,14394.14,5605.86,2475.66,2475.66,2475.66,2018,23100,,2,,02
1 02.227.07.241.00 2018,5821.0,KONTRAT.KM0-BETERRI,0.0,35000.0,0.0,27027.83,7972.17,27027.83,2239.83,2239.83,2239.83,2018,24100,,2,,02
1 02.227.07.323.00 2018,4517.0,PROGR.IKASTETXEETAN,50000.0,50000.0,0.0,34648.45,15351.55,34648.45,30928.45,30928.45,30928.45,2018,32300,,2,,02
1 02.227.07.912.00 2018,4519.0,KANPO LANAK.HAINBAT.GOBERNU ORGANOAK,15000.0,15000.0,0.0,22856.9,-7856.9,22856.9,16722.2,16722.2,16722.2,2018,91200,,2,,02
1 02.227.07.912.00 2017,5698.0,KANPO LANAK.HAINBAT.GOBERNU ORGANOAK,0.0,1046.65,0.0,0.0,1046.65,0.0,0.0,0.0,0.0,2017,91200,,2,,02
1 02.227.07.920.00 2018,5822.0,KONTRAT.DATUEN BABESA.,0.0,0.0,0.0,21429.1,-21429.1,21429.1,254.1,254.1,254.1,2018,92000,,2,,02
1 02.227.07.931.00 2018,4520.0,AUDITORIA-KANPO LANAK. ADM. EKONOMIKOA,17000.0,17000.0,0.0,15185.75,1814.25,15185.75,15185.75,15185.75,15185.75,2018,93100,,2,,02
1 02.227.09.932.00 2018,4521.0,OGASUNA.EJEKUTIBA ZERBITZUA.BILKETA,3000.0,3000.0,0.0,5940.24,-2940.24,5940.24,5940.24,5940.24,5940.24,2018,93200,,2,,02
1 02.227.95.241.00 2018,5840.0,KONTRAT-MERKATARITZA PLANA,0.0,20000.0,0.0,17847.5,2152.5,17847.5,0.0,0.0,0.0,2018,24100,,2,,02
1 02.227.95.920.00 2018,5847.0,AZTERKETA.BALORAZIOA,0.0,0.0,0.0,21477.5,-21477.5,21477.5,10738.75,10738.75,10738.75,2018,92000,,2,,02
1 02.227.97.912.00 2018,5621.0,KOMUNIKAZIO ZERBITZUA,36000.0,36000.0,0.0,35695.0,305.0,35695.0,29745.8,29745.8,29745.8,2018,91200,,2,,02
1 02.227.98.132.00 2018,4522.0,TXAKUR ABANDONATUAK.KONTRATUA,6000.0,6000.0,0.0,4025.33,1974.67,4025.33,4025.33,4025.33,4025.33,2018,13200,,2,,02
1 02.227.98.342.00 2018,4524.0,SOROSLEAK KONTRATOA-KIROLDEGIA,113000.0,113000.0,0.0,93385.54,19614.46,93385.54,93385.54,93385.54,93385.54,2018,34200,,2,,02
1 02.227.98.342.01 2018,4525.0,"KONTRATUA.MANTENUA,KANPO IGERILEKUAK",11000.0,11000.0,0.0,10686.72,313.28,10686.72,10686.72,10686.72,10686.72,2018,34201,,2,,02
1 02.227.98.920.00 2017,5700.0,BIDEOAKTA SISTEMA,0.0,50000.0,0.0,50000.0,0.0,41081.58,36938.83,36938.83,36938.83,2017,92000,,2,,02
1 02.227.98.933.00 2018,5622.0,ELIKAGAIEN BANKUA-ALOKAIRUA,13100.0,13100.0,0.0,13068.0,32.0,13068.0,11979.0,11979.0,11979.0,2018,93300,,2,,02
1 02.227.99.323.30 2018,4527.0,KONTRATUA. HAUR ESKOLA.SUKALDEA.,62738.0,62738.0,0.0,62738.5,-0.5,62738.5,45556.65,45556.65,45556.65,2018,32330,,2,,02
1 02.227.99.334.10 2018,4528.0,KONTRATUA.AUZOET.HAUR TAILERRAK.,37000.0,37000.0,0.0,38040.0,-1040.0,38040.0,29623.65,29623.65,29623.65,2018,33410,,2,,02
1 02.227.99.335.40 2018,4529.0,KONTRATUA: UDALEKUAK,19500.0,19500.0,0.0,20000.0,-500.0,20000.0,20000.0,20000.0,20000.0,2018,33540,,2,,02
1 02.227.99.341.00 2017,5702.0,PROGR.PAREKIDETASUNA KIROLEAN,0.0,7249.0,0.0,7249.0,0.0,2610.0,2610.0,2610.0,2610.0,2017,34100,,2,,02
1 02.227.99.342.00 2018,4530.0,BESTE KONTRATUAK: KIROLDEGIA,24000.0,24000.0,0.0,7995.6,16004.4,7995.6,7995.6,7995.6,7995.6,2018,34200,,2,,02
1 02.227.99.342.00 2017,5703.0,BESTE KONTRATUAK: KIROLDEGIA,0.0,1185.8,0.0,653.4,532.4,653.4,0.0,0.0,0.0,2017,34200,,2,,02
1 02.227.99.342.01 2018,4531.0,KONTRATUA.SOROSPEN ZERBITZUA.KANPO IGERI,123000.0,123000.0,0.0,122932.83,67.17,122932.83,122932.83,122932.83,122932.83,2018,34201,,2,,02
1 02.227.99.912.00 2018,4532.0,KONTRATUA.BIZIKIDETZA PROIEKTUA,20000.0,20000.0,0.0,19886.35,113.65,19886.35,12021.35,12021.35,12021.35,2018,91200,,2,,02
1 02.227.99.912.00 2017,5704.0,KONTRATUA.BIZIKIDETZA PROIEKTUA,0.0,11767.85,0.0,10594.15,1173.7,10594.15,0.0,0.0,0.0,2017,91200,,2,,02
1 02.227.99.920.00 2018,4533.0,HAINB.KONTRATU ADMIN.OROKORRA,35000.0,35000.0,0.0,25855.57,9144.43,25855.57,23030.22,23030.22,23030.22,2018,92000,,2,,02
1 02.227.99.920.00 2015,5705.0,HAINB.KONTRATU ADMIN.OROKORRA,0.0,14822.5,0.0,14822.5,0.0,14822.5,0.0,0.0,0.0,2015,92000,,2,,02
1 02.227.99.920.11 2018,4534.0,KONTRATUAK:SEGURTAS.OSASUNA,19000.0,19000.0,0.0,18214.4,785.6,18214.4,18214.4,18214.4,18214.4,2018,92011,,2,,02
1 02.227.99.920.20 2018,4880.0,INFORMATIKA KANPOKO ENPRESEN LANAK,25000.0,25000.0,0.0,23656.89,1343.11,23656.89,21277.86,21277.86,21277.86,2018,92020,,2,,02
1 02.227.99.920.20 2017,5706.0,INFORMATIKA KANPOKO ENPRESEN LANAK,0.0,18313.32,0.0,18313.32,0.0,18313.32,8790.62,8790.62,8790.62,2017,92020,,2,,02
1 02.227.99.920.30 2018,5186.0,ONDAREAREN AZTERKETA,8000.0,8000.0,0.0,8000.0,0.0,8000.0,4000.0,4000.0,4000.0,2018,92030,,2,,02
1 02.230.01.912.00 2018,4535.0,DIETAK:GOBERNU ORGANOAK,3000.0,3000.0,0.0,3259.0,-259.0,3259.0,3259.0,3259.0,3259.0,2018,91200,,2,,02
1 02.230.01.920.10 2018,4536.0,PERTSONALAREN DIETA,6000.0,6000.0,0.0,6099.21,-99.21,6099.21,6099.21,6099.21,6099.21,2018,92010,,2,,02
1 02.332.01.011.00 2018,4537.0,MAILEGUEN INTERESAK,12000.0,12000.0,0.0,5637.99,6362.01,5637.99,5637.99,5637.99,5637.99,2018,01100,,3,,02
1 02.369.01.011.00 2018,4539.0,BESTELAKO FINANTZA-GASTUAK,2000.0,2000.0,0.0,1038.95,961.05,1038.95,1038.95,1038.95,1038.95,2018,01100,,3,,02
1 02.421.01.922.00 2018,4543.0,EKARPENA:UDALBILTZA,45000.0,45000.0,0.0,40000.0,5000.0,40000.0,40000.0,40000.0,40000.0,2018,92200,,4,,02
1 02.421.02.432.00 2018,5187.0,SAGARDUN PARTZUERGOA-HITZARMENA,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,2018,43200,,4,,02
1 02.422.01.241.00 2018,4545.0,BETERRI.UDALEN HITZARMENA.,132114.0,132114.0,0.0,132114.0,0.0,132114.0,132114.0,132114.0,132114.0,2018,24100,,4,,02
1 02.422.01.326.03 2018,4541.0,DIRULAG-HHI-EPA.,3577.0,3577.0,0.0,3577.0,0.0,3577.0,3577.0,3577.0,3577.0,2018,32603,,4,,02
1 02.422.01.432.00 2018,4544.0,BEHEMENDIREKIKO TURISMO HITZARMENA,14500.0,14500.0,0.0,13716.11,783.89,13716.11,13716.11,13716.11,13716.11,2018,43200,,4,,02
1 02.422.01.922.00 2018,4542.0,EKARPENA:EUDEL,3006.0,3006.0,0.0,4507.59,-1501.59,4507.59,4507.59,4507.59,4507.59,2018,92200,,4,,02
1 02.431.01.231.90 2018,5623.0,ONGINTZA.EKARPEN ARRUNTA,2142072.0,2202072.0,0.0,1793303.41,408768.59,1793303.41,1793303.41,1793303.41,1793303.41,2018,23190,,4,,02
1 02.431.01.943.20 2018,4547.0,EREÑOTZU.HERNANIKO UDALAREN EKARPENA.,373649.0,373649.0,0.0,96532.81,277116.19,96532.81,95026.53,95026.53,95026.53,2018,94320,,4,,02
1 02.471.01.241.00 2018,5841.0,DIRULAG-EKINTZAILEAK,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,2018,24100,,4,,02
1 02.471.01.334.00 2018,4548.0,DIRULAGUNTZA:ZINEMA EMAKIDARAKO,35000.0,35000.0,0.0,25185.45,9814.55,25185.45,12835.45,12835.45,12835.45,2018,33400,,4,,02
1 02.471.02.241.00 2018,5842.0,DIRULAG-MERKATARITZA,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,2018,24100,,4,,02
1 02.480.01.151.10 2018,5843.0,DIRULAG-ETXEB. BIRGAITZE LANAK,0.0,60000.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,2018,15110,,4,,02
1 02.480.01.151.10 2016,5709.0,DIRULAG. ETXEBIZITZA BIRGAITZEKO OBRAK,0.0,9000.0,0.0,2266.11,6733.89,2266.11,2266.11,2266.11,2266.11,2016,15110,,4,,02
1 02.480.01.231.03 2018,4563.0,ALOKAIRU DIRULAGUNTZAK-GAZTERIA,82000.0,82000.0,0.0,0.0,82000.0,0.0,0.0,0.0,0.0,2018,23103,,4,,02
1 02.480.01.231.04 2018,4884.0,ALOKAIRU DIRULAGUNTZAK HELDUAK,82000.0,82000.0,0.0,0.0,82000.0,0.0,0.0,0.0,0.0,2018,23104,,4,,02
1 02.480.01.334.00 2018,5624.0,BEKAK-ARTE SORKUNTZA,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,2018,33400,,4,,02
1 02.480.01.335.10 2018,4550.0,BEKAK EUSKALTEGIA,33270.0,33270.0,0.0,28175.62,5094.38,28175.62,28175.62,28175.62,28175.62,2018,33510,,4,,02
1 02.480.01.920.30 2018,4561.0,BEKAK-KULTUR ONDAREA,8000.0,8000.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,2018,92030,,4,,02
1 02.481.01.135.00 2018,4883.0,DIRULAG.DYA.ELKARTEA,3500.0,3500.0,0.0,3500.0,0.0,3500.0,3500.0,3500.0,3500.0,2018,13500,,4,,02
1 02.481.01.231.01 2018,4551.0,EUSKAL FONDOA.EKARPENA.,3621.0,3621.0,0.0,3558.51,62.49,3558.51,3558.51,3558.51,3558.51,2018,23101,,4,,02
1 02.481.01.241.00 2018,4552.0,BERRIAK ELKARTEA-HITZARMENA,14000.0,24000.0,0.0,24000.0,0.0,24000.0,14400.0,14400.0,14400.0,2018,24100,,4,,02
1 02.481.01.241.00 2017,5710.0,BERRIAK ELKARTEA-HITZARMENA,0.0,5600.0,0.0,5600.0,0.0,5600.0,5600.0,5600.0,5600.0,2017,24100,,4,,02
1 02.481.01.323.00 2018,4553.0,DIRULAG:IKASTETXEAK KANPOKO EKINTZ,18400.0,18400.0,0.0,18400.0,0.0,18400.0,14719.0,14719.0,14579.0,2018,32300,,4,,02
1 02.481.01.323.00 2017,5711.0,DIRULAG:IKASTETXEAK KANPOKO EKINTZ,0.0,3682.0,0.0,3682.0,0.0,3682.0,3682.0,3682.0,3642.0,2017,32300,,4,,02
1 02.481.01.334.00 2018,4555.0,DIRULAG:KULTURA(NORGEHIAGOKA),80000.0,80000.0,0.0,79781.34,218.66,79781.34,67849.59,67849.59,67849.59,2018,33400,,4,,02
1 02.481.01.334.00 2017,5712.0,DIRULAG:KULTURA(NORGEHIAGOKA),0.0,849.3,0.0,524.73,324.57,524.73,524.73,524.73,524.73,2017,33400,,4,,02
1 02.481.01.334.20 2018,4556.0,DIRULAGUNTZA:MUSIKA BANDA-HERMUBA,83459.0,83459.0,0.0,83459.0,0.0,83459.0,76504.12,76504.12,76504.12,2018,33420,,4,,02
1 02.481.01.334.30 2018,4557.0,DIRULAGUNTZA:TXISTULARI BANDA-GOIZETIK,38813.0,38813.0,0.0,38813.0,0.0,38813.0,35578.62,35578.62,35578.62,2018,33430,,4,,02
1 02.481.01.335.00 2018,4558.0,DIRULAG:EUSKARA (NORGEHIAGOKA),50000.0,50000.0,0.0,44266.39,5733.61,44266.39,44266.39,44266.39,44266.39,2018,33500,,4,,02
1 02.481.01.341.00 2018,4559.0,DIRULAG:KIROL EKINTZAK,35000.0,55000.0,0.0,0.0,55000.0,0.0,0.0,0.0,0.0,2018,34100,,4,,02
1 02.481.01.341.00 2017,5714.0,DIRULAG:KIROL EKINTZAK,0.0,35000.0,0.0,35000.0,0.0,35000.0,35000.0,35000.0,35000.0,2017,34100,,4,,02
1 02.481.01.912.00 2018,4560.0,DIRULAGUNTZA ZUZENAK.GOBERNU ORGANUAK,25000.0,25000.0,0.0,15764.81,9235.19,15764.81,10964.81,10964.81,10964.81,2018,91200,,4,,02
1 02.481.02.231.01 2018,4562.0,DIRULAG.LANKIDETZA.GKE.PROIEKTUAK,164577.0,164577.0,0.0,0.0,164577.0,0.0,0.0,0.0,0.0,2018,23101,,4,,02
1 02.481.02.231.01 2017,5716.0,DIRULAG.LANKIDETZA.GKE.PROIEKTUAK,0.0,153581.0,0.0,153581.0,0.0,0.0,0.0,0.0,0.0,2017,23101,,4,,02
1 02.481.02.231.01 2016,5715.0,DIRULAG.LANKIDETZA.GKE.PROIEKTUAK,0.0,23643.01,0.0,23643.01,0.0,23643.01,20917.06,20917.06,20917.06,2016,23101,,4,,02
1 02.481.02.231.03 2017,5718.0,ALOKAIRU DIRULAG-GAZTERIA,0.0,82000.0,0.0,82000.0,0.0,80330.0,79830.0,79830.0,79830.0,2017,23103,,4,,02
1 02.481.02.231.04 2017,5720.0,ALOKAIRU DIRULAGUNTZAK HELDUAK,0.0,82000.0,0.0,82000.0,0.0,49555.0,49555.0,49555.0,49555.0,2017,23104,,4,,02
1 02.481.02.334.00 2018,5851.0,DIRULAG.ARTE SORKUNTZA.,0.0,0.0,0.0,10000.0,-10000.0,0.0,0.0,0.0,0.0,2018,33400,,4,,02
1 02.481.02.334.00 2017,5721.0,DIRULAG.ARTE SORKUNTZA.,0.0,10000.0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,2017,33400,,4,,02
1 02.481.02.334.10 2018,4564.0,DIRULAG:AUZO ELKARTEAK,106000.0,106000.0,0.0,105893.62,106.38,105893.62,93743.02,93743.02,93743.02,2018,33410,,4,,02
1 02.481.02.334.10 2017,5722.0,DIRULAG:AUZO ELKARTEAK,0.0,3074.64,0.0,0.0,3074.64,0.0,0.0,0.0,0.0,2017,33410,,4,,02
1 02.481.02.335.00 2018,4565.0,DIRULAG.:EUSKARA (ZUZENAK),146200.0,146200.0,0.0,130343.0,15857.0,130343.0,88619.62,88619.62,88619.62,2018,33500,,4,,02
1 02.481.02.335.00 2016,5723.0,DIRULAG.:EUSKARA (ZUZENAK),0.0,30728.0,0.0,0.0,30728.0,0.0,0.0,0.0,0.0,2016,33500,,4,,02
1 02.481.02.341.00 2018,5188.0,DIRULAG.ZUZENA-ESKOLA KIROLA,40000.0,40000.0,0.0,21260.29,18739.71,21260.29,21260.29,21260.29,21260.29,2018,34100,,4,,02
1 02.481.02.912.00 2018,4567.0,TALDE POLITIKOEN ASIGNAZIOAK,71200.0,71200.0,0.0,64955.0,6245.0,64955.0,64955.0,64955.0,64955.0,2018,91200,,4,,02
1 02.481.03.231.01 2018,4885.0,DIRULAG.LANKIDETZA.EUSKAL FONDOA.PROIEKT,49159.0,49159.0,0.0,0.0,49159.0,0.0,0.0,0.0,0.0,2018,23101,,4,,02
1 02.481.03.231.02 2018,4568.0,DIRULAG:AMHER,65000.0,65000.0,0.0,65000.0,0.0,65000.0,65000.0,65000.0,65000.0,2018,23102,,4,,02
1 02.481.03.341.00 2018,4569.0,DIRULAG.ZUZENA-KLUBAK,68000.0,68000.0,0.0,76739.0,-8739.0,76739.0,60369.0,60369.0,60369.0,2018,34100,,4,,02
1 02.481.03.912.00 2018,5189.0,ASOCIACION FIARE-MIKROKREDITOAK,20000.0,45000.0,0.0,45000.0,0.0,45000.0,45000.0,45000.0,45000.0,2018,91200,,4,,02
1 02.481.04.341.00 2018,4571.0,DIRULAG:KIROL EKIN.EZOHIZKOAK,4088.0,4088.0,0.0,4088.0,0.0,4088.0,4088.0,4088.0,4088.0,2018,34100,,4,,02
1 02.481.05.924.00 2018,4572.0,DIRULAG.AUZOLAN PROGRAMAK,25000.0,25000.0,0.0,7060.75,17939.25,7060.75,5648.6,5648.6,5648.6,2018,92400,,4,,02
1 02.481.05.924.00 2017,5725.0,DIRULAG.AUZOLAN PROGRAMAK,0.0,6275.02,0.0,5875.67,399.35,5875.67,5875.67,5875.67,5875.67,2017,92400,,4,,02
1 02.500.01.929.00 2018,4509.0,KREDITU GLOBALA,708721.0,708721.0,0.0,0.0,708721.0,0.0,0.0,0.0,0.0,2018,92900,,5,,02
1 02.500.04.929.00 2018,5844.0,KREDITU GLOBALA-INBERTSIOAK,0.0,124739.0,0.0,0.0,124739.0,0.0,0.0,0.0,0.0,2018,92900,,5,,02
1 02.601.01.151.10 2018,4573.0,SORGINTXULO-LATSUNBE-BIDEGORRIA,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.601.01.151.10 2015,5726.0,ELORRABIKO ZUBIA,0.0,502396.35,0.0,502396.35,0.0,17574.95,14888.75,14888.75,14888.75,2015,15110,,6,,02
1 02.601.01.151.20 2018,5845.0,GALARRETA SIST OROKORRA,0.0,727061.0,0.0,0.0,727061.0,0.0,0.0,0.0,0.0,2018,15120,,6,,02
1 02.601.01.151.20 2017,5727.0,BUTANO-06-EREMUA,0.0,40430.36,0.0,48355.86,-7925.5,48355.86,42300.0,42300.0,42300.0,2017,15120,,6,,02
1 02.601.01.933.00 2018,5658.0,SENPERENEA BIDEA. EXEK. SUBSIDIARIOA,0.0,0.0,0.0,56234.79,-56234.79,56234.79,0.0,0.0,0.0,2018,93300,,6,,02
1 02.601.02.151.10 2018,5625.0,URBIETA KALEA PEATONALIZAZIOA,100000.0,100000.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.601.02.151.10 2017,5731.0,A-15-AKARREGI BIRIBILGUNEA LOTURA,0.0,118799.03,0.0,118799.03,0.0,105336.78,0.0,0.0,0.0,2017,15110,,6,,02
1 02.601.02.151.10 2016,5730.0,LANDARE POLIGONO BIDEA,0.0,398220.62,0.0,398220.62,0.0,1452.0,1452.0,1452.0,1452.0,2016,15110,,6,,02
1 02.601.02.151.10 2015,5729.0,URBANIZAZIO EJEKUZIO DIFERITUAK-2015,0.0,48253.0,0.0,48253.0,0.0,0.0,0.0,0.0,0.0,2015,15110,,6,,02
1 02.601.04.151.10 2018,5813.0,SENPERENEA BIDEA. EXEK. SUBSIDIARIOA,0.0,0.0,0.0,3630.0,-3630.0,3630.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.601.11.151.10 2018,5826.0,ETXEBERRI URBANIZAZIOA-II.2 FASEA,0.0,460000.0,0.0,0.0,460000.0,0.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.601.11.151.10 2015,5733.0,ETXEBERRI URBANIZAZIOA-II.1 FASEA,0.0,840319.2,0.0,673125.17,167194.03,673125.17,627750.99,627750.99,627750.99,2015,15110,,6,,02
1 02.601.13.151.10 2017,5734.0,KARABEL AUZOA URBANIZAZIOA,0.0,407803.62,0.0,377453.19,30350.43,377453.19,377453.19,377453.19,377453.19,2017,15110,,6,,02
1 02.601.13.153.20 2018,5827.0,ETXEBERRI URBANIZAZIOA-ASFALTATZEA,0.0,150000.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0,2018,15320,,6,,02
1 02.601.14.151.10 2018,5828.0,ETXEBERRI URBANIZAZIOA-UR HORNIDURA,0.0,50000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.601.14.151.10 2017,5735.0,URBIETA KALEA PEATONALIZAZIOA,0.0,20000.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,2017,15110,,6,,02
1 02.601.15.151.10 2018,5852.0,LAIZTIAGA ARRAPALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.601.16.151.10 2018,5853.0,SANEAMENDU TANKEA-Akarregi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.609.01.133.00 2018,5839.0,APARKALEKUEN SISTEMA,0.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,2018,13300,,6,,02
1 02.609.01.334.00 2018,5626.0,ATSEGINDEGIKO ITXITURA,138000.0,505000.0,0.0,0.0,505000.0,0.0,0.0,0.0,0.0,2018,33400,,6,,02
1 02.609.03.341.00 2018,5834.0,PANEL INFORMATIBOAK,0.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,2018,34100,,6,,02
1 02.622.01.151.10 2018,5829.0,UDAL ETXEBIZITZAK-ANTZIOLA,0.0,40000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,2018,15110,,6,,02
1 02.622.01.151.10 2017,5819.0,ITURMENDI ETXEBIZITZA DOTAZIONALAK,0.0,271012.0,0.0,271012.0,0.0,17298.61,0.0,0.0,0.0,2017,15110,,6,,02
1 02.622.01.333.00 2018,5627.0,BITERI KULTUR ETXEA-OBRAK,60000.0,160000.0,0.0,160000.0,0.0,63306.52,63306.52,63306.52,63306.52,2018,33300,,6,,02
1 02.622.01.342.00 2016,5736.0,KIROLDEGIA-IGERILEKUAK-FASE II,0.0,43265.52,0.0,28973.42,14292.1,28973.42,16621.58,16621.58,16621.58,2016,34200,,6,,02
1 02.622.01.432.00 2017,5738.0,PATAGONIA ERAIKINA,0.0,60000.0,0.0,60000.0,0.0,4840.0,4840.0,4840.0,4840.0,2017,43200,,6,,02
1 02.622.02.172.20 2018,5628.0,KONPOST PLANTA,100000.0,100000.0,0.0,7038.53,92961.47,7038.53,988.53,988.53,988.53,2018,17220,,6,,02
1 02.622.02.231.00 2017,5739.0,EMAKUMEEN ETXEA EGOKITZEA,0.0,898608.5,0.0,898608.5,0.0,30116.9,459.8,459.8,459.8,2017,23100,,6,,02
1 02.622.02.334.00 2018,5629.0,SANDIUSTERRI BERRITZEA-DANTZA-MUSIKA,100000.0,500000.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,2018,33400,,6,,02
1 02.622.02.933.00 2018,5846.0,LOKAL EROSKETA,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,2018,93300,,6,,02
1 02.622.03.334.00 2018,5830.0,MILAGROSA ERAIKINA BERRITU,0.0,70000.0,0.0,0.0,70000.0,0.0,0.0,0.0,0.0,2018,33400,,6,,02
1 02.622.04.334.00 2018,5831.0,AVE MARIA ERAIKINA,0.0,800000.0,0.0,0.0,800000.0,0.0,0.0,0.0,0.0,2018,33400,,6,,02
1 02.623.01.342.00 2017,5741.0,HAIZE SISTEMA.KIROLDEGIA,0.0,216981.0,0.0,13673.0,203308.0,13673.0,7018.0,7018.0,7018.0,2017,34200,,6,,02
1 02.623.02.342.00 2018,5820.0,OZONO ETA KLIMATIZAZIO INSTALAZIOAK,0.0,68100.0,0.0,68002.0,98.0,68002.0,68002.0,68002.0,68002.0,2018,34200,,6,,02
1 02.624.01.132.00 2018,5630.0,IBILGAILUA.UDALTZAINGOA,30000.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0,2018,13200,,6,,02
1 02.625.01.342.00 2018,5837.0,GELA HUTSAK-KIROLDEGIA,0.0,9000.0,0.0,767.14,8232.86,767.14,767.14,767.14,767.14,2018,34200,,6,,02
1 02.625.01.920.00 2018,4887.0,BULEGO ALTZARIAK.,3000.0,3000.0,0.0,7672.03,-4672.03,7672.03,7672.03,7672.03,7672.03,2018,92000,,6,,02
1 02.625.99.342.00 2016,5742.0,KIROL MAKINAK: KIROLDEGIA,0.0,6247.18,0.0,6247.18,0.0,3244.01,3244.01,3244.01,3244.01,2016,34200,,6,,02
1 02.626.01.920.20 2018,4580.0,INFORMAZIO-PROZESUETARAKO EKIPOAK,25000.0,25000.0,0.0,24507.18,492.82,24507.18,12720.51,12720.51,12720.51,2018,92020,,6,,02
1 02.626.01.920.20 2017,5743.0,INFORMAZIO-PROZESUETARAKO EKIPOAK,0.0,7546.35,0.0,7546.35,0.0,7546.35,1657.7,1657.7,1657.7,2017,92020,,6,,02
1 02.628.01.332.10 2018,4581.0,FUNTS BIBLIOGRAFIKOAK,44000.0,44000.0,0.0,27546.89,16453.11,27546.89,27546.89,27546.89,27546.89,2018,33210,,6,,02
1 02.629.01.132.00 2018,5836.0,IRRATIA UDALTZAINGOA,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,2018,13200,,6,,02
